Date,occur_time,poss_date,poss_time,MaxOfnum_victims,Avg Day,UC2 Literal,neighborhood,x,y
9/8/17,0:00:00,9/8/17,0:06:00,3,Fri,ROBBERY-PEDESTRIAN,Ashview Heights,-84.4213,33.74929
9/8/17,0:00:00,9/8/17,5:00:00,1,Fri,BURGLARY-RESIDENCE,Greenbriar,-84.49403,33.6697
9/8/17,0:00:00,9/8/17,15:00:00,1,Unk,BURGLARY-NONRES,Carroll Heights,-84.50873,33.77758
9/7/17,0:00:00,9/7/17,6:17:00,2,Thu,LARCENY-FROM VEHICLE,Edgewood,-84.34725,33.74921
9/6/17,0:00:00,9/6/17,12:54:00,1,Unk,BURGLARY-RESIDENCE,Orchard Knob,-84.37872,33.66754
9/5/17,0:00:00,9/5/17,0:10:00,1,Tue,LARCENY-FROM VEHICLE,Harland Terrace,-84.46789,33.75166
9/5/17,0:00:00,9/5/17,1:00:00,1,Tue,LARCENY-FROM VEHICLE,Piedmont Heights,-84.37025,33.79592
9/5/17,0:00:00,9/5/17,1:00:00,1,Tue,LARCENY-FROM VEHICLE,Lindridge/Martin Manor,-84.35601,33.81123
9/5/17,0:00:00,9/5/17,17:28:00,1,Tue,RAPE,Downtown,0,0
9/4/17,0:00:00,9/4/17,3:24:00,1,Mon,LARCENY-FROM VEHICLE,Oakland City,-84.41524,33.72459
9/3/17,0:00:00,9/3/17,0:00:00,3,Sun,AGG ASSAULT,Adamsville,-84.51198,33.76208
9/2/17,0:00:00,9/2/17,0:44:00,1,Sat,BURGLARY-RESIDENCE,Joyland,-84.39753,33.71412
9/1/17,0:00:00,9/1/17,9:30:00,1,Thu,BURGLARY-RESIDENCE,Peoplestown,-84.38604,33.72575
8/31/17,0:00:00,8/31/17,7:40:00,1,Thu,LARCENY-FROM VEHICLE,Candler Park,-84.34666,33.76176
8/31/17,0:00:00,8/26/17,8:00:00,1,Sat,LARCENY-NON VEHICLE,Downtown,-84.38553,33.7664
8/30/17,0:00:00,8/30/17,23:59:00,1,Unk,RAPE,Campbellton Road,0,0
8/29/17,0:00:00,8/29/17,2:00:00,1,Tue,LARCENY-FROM VEHICLE,Virginia Highland,-84.36228,33.77412
8/29/17,0:00:00,8/29/17,19:59:00,1,Unk,LARCENY-NON VEHICLE,Summerhill,-84.38012,33.73281
8/28/17,0:00:00,8/28/17,9:13:00,1,Sun,BURGLARY-RESIDENCE,Audobon Forest,-84.47054,33.73045
8/28/17,0:00:00,8/28/17,5:00:00,1,Unk,LARCENY-NON VEHICLE,Bankhead,-84.42406,33.77137
8/27/17,0:00:00,8/27/17,1:30:00,1,Sun,AUTO THEFT,Center Hill,-84.4669,33.77582
8/27/17,0:00:00,8/26/17,15:00:00,1,Unk,LARCENY-NON VEHICLE,Peoplestown,-84.39027,33.73159
8/26/17,0:00:00,8/26/17,0:14:00,1,Sat,LARCENY-FROM VEHICLE,Marietta Street Artery,-84.40773,33.77807
8/26/17,0:00:00,8/26/17,0:45:00,1,Sat,LARCENY-FROM VEHICLE,Buckhead Village,-84.37653,33.84064
8/26/17,0:00:00,8/26/17,7:36:00,0,Unk,LARCENY-NON VEHICLE,The Villages at East Lake,-84.31315,33.74318
8/26/17,0:00:00,8/23/17,10:00:00,1,Wed,LARCENY-NON VEHICLE,Downtown,-84.3886,33.75685
8/26/17,0:00:00,8/26/17,14:00:00,1,Sat,AUTO THEFT,Home Park,-84.40758,33.78194
8/25/17,0:00:00,8/25/17,0:01:00,1,Fri,LARCENY-FROM VEHICLE,Capitol Gateway,-84.38227,33.74554
8/24/17,0:00:00,8/24/17,18:41:00,1,Thu,LARCENY-FROM VEHICLE,Ridgecrest Forest,-84.52595,33.74091
8/23/17,0:00:00,8/23/17,5:09:00,2,Wed,LARCENY-FROM VEHICLE,Downtown,-84.39372,33.75022
8/23/17,0:00:00,8/23/17,12:00:00,1,Wed,LARCENY-NON VEHICLE,English Avenue,-84.40498,33.76527
8/22/17,0:00:00,8/22/17,18:40:00,1,Tue,LARCENY-NON VEHICLE,Mozley Park,-84.43002,33.74922
8/22/17,0:00:00,8/22/17,0:26:00,1,Mon,RAPE,Vine City,0,0
8/22/17,0:00:00,8/22/17,7:00:00,1,Tue,AUTO THEFT,Mechanicsville,-84.3982,33.73971
8/22/17,0:00:00,8/22/17,11:40:00,1,Tue,LARCENY-NON VEHICLE,,-84.4906,33.75352
8/20/17,0:00:00,8/20/17,2:55:00,2,Sun,LARCENY-FROM VEHICLE,Midtown,-84.38516,33.78535
8/19/17,0:00:00,8/19/17,6:00:00,1,Sat,LARCENY-FROM VEHICLE,Hills Park,-84.44815,33.80638
8/18/17,0:00:00,8/7/17,19:00:00,1,Unk,BURGLARY-NONRES,Hills Park,-84.43779,33.80431
8/17/17,0:00:00,8/17/17,0:01:00,1,Thu,LARCENY-FROM VEHICLE,Peoplestown,-84.38846,33.73049
8/16/17,0:00:00,8/16/17,3:00:00,1,Wed,LARCENY-NON VEHICLE,Ridgedale Park,-84.356,33.85053
8/16/17,0:00:00,8/15/17,15:00:00,1,Mon,LARCENY-NON VEHICLE,Midtown,-84.3821,33.78465
8/16/17,0:00:00,8/13/17,3:00:00,1,Sun,RAPE,Sweet Auburn,0,0
8/15/17,0:00:00,8/15/17,6:00:00,1,Unk,BURGLARY-NONRES,Summerhill,-84.38693,33.73451
8/15/17,0:00:00,8/15/17,18:45:00,1,Unk,LARCENY-NON VEHICLE,,-84.39391,33.81738
8/14/17,0:00:00,8/14/17,2:20:00,1,Mon,LARCENY-FROM VEHICLE,Oakland City,-84.41337,33.7232
8/14/17,0:00:00,8/14/17,4:30:00,1,Mon,AUTO THEFT,Midtown,-84.37577,33.775
8/14/17,0:00:00,8/15/17,9:24:00,1,Unk,LARCENY-NON VEHICLE,Edgewood,-84.34619,33.75674
8/14/17,0:00:00,8/14/17,10:29:00,1,Unk,LARCENY-FROM VEHICLE,Hammond Park,-84.40917,33.67333
8/14/17,0:00:00,8/14/17,13:00:00,1,Unk,LARCENY-FROM VEHICLE,Bankhead,-84.43117,33.76777
8/14/17,0:00:00,8/14/17,13:15:00,1,Unk,AUTO THEFT,Hammond Park,-84.40893,33.67364
8/13/17,0:00:00,8/13/17,1:00:00,1,Sun,LARCENY-FROM VEHICLE,Piedmont Heights,-84.37025,33.79592
8/12/17,0:00:00,8/12/17,10:00:00,1,Sat,LARCENY-FROM VEHICLE,English Avenue,-84.40498,33.76527
8/11/17,0:00:00,8/11/17,0:00:00,1,Unk,LARCENY-NON VEHICLE,Midtown,-84.36561,33.77469
8/11/17,0:00:00,8/11/17,0:00:00,1,Unk,LARCENY-NON VEHICLE,Home Park,-84.41015,33.78016
8/11/17,0:00:00,8/11/17,7:00:00,1,Fri,LARCENY-FROM VEHICLE,Fairburn Mays,-84.51092,33.73207
8/10/17,0:00:00,8/9/17,8:00:00,1,Unk,LARCENY-NON VEHICLE,Pittsburgh,-84.39983,33.72875
8/9/17,0:00:00,8/9/17,0:00:00,1,Tue,LARCENY-NON VEHICLE,Downtown,-84.38795,33.7572
8/9/17,0:00:00,8/9/17,0:15:00,1,Unk,LARCENY-NON VEHICLE,Rosedale Heights,-84.37106,33.67893
8/8/17,0:00:00,8/8/17,0:02:00,1,Tue,AGG ASSAULT,The Villages at Carver,-84.39138,33.71449
8/8/17,0:00:00,8/8/17,0:00:00,1,Mon,LARCENY-NON VEHICLE,Downtown,-84.39487,33.75757
8/7/17,0:00:00,8/7/17,0:10:00,2,Mon,ROBBERY-PEDESTRIAN,Home Park,-84.40047,33.78589
8/7/17,0:00:00,8/7/17,8:59:00,1,Mon,BURGLARY-RESIDENCE,Edgewood,-84.34025,33.7575
8/7/17,0:00:00,8/2/17,0:00:00,1,Tue,LARCENY-NON VEHICLE,Downtown,-84.38477,33.75813
8/7/17,0:00:00,8/7/17,19:33:00,1,Unk,AUTO THEFT,Cascade Heights,-84.46882,33.71318
8/5/17,0:00:00,8/5/17,9:30:00,1,Sat,LARCENY-FROM VEHICLE,Castleberry Hill,-84.40426,33.74728
8/5/17,0:00:00,8/5/17,0:00:00,1,Fri,LARCENY-NON VEHICLE,Bankhead,-84.42542,33.77227
8/5/17,0:00:00,8/5/17,2:38:00,2,Sat,LARCENY-FROM VEHICLE,Berkeley Park,-84.41093,33.80174
8/5/17,0:00:00,8/5/17,3:56:00,1,Sat,AUTO THEFT,Bolton,-84.4492,33.81667
8/4/17,0:00:00,2/15/17,8:30:00,1,Unk,LARCENY-FROM VEHICLE,Peoplestown,-84.39059,33.72622
8/2/17,0:00:00,8/2/17,5:00:00,1,Wed,LARCENY-NON VEHICLE,Midtown,-84.37265,33.7787
8/2/17,0:00:00,7/15/17,2:00:00,2,Sat,AUTO THEFT,Summerhill,-84.38338,33.74237
8/1/17,0:00:00,8/1/17,5:00:00,1,Unk,LARCENY-NON VEHICLE,Bankhead,-84.4192,33.77308
7/31/17,0:00:00,7/31/17,6:00:00,1,Mon,AUTO THEFT,Peachtree Park,-84.36768,33.84371
7/31/17,0:00:00,7/31/17,11:23:00,1,Mon,BURGLARY-RESIDENCE,Cascade Avenue/Road,-84.44494,33.72276
