DATE,,HOURLYSKYCONDITIONS,HOURLYVISIBILITY,HOURLYDRYBULBTEMPF,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYStationPressure,,DAILYSunrise,DAILYSunset
1/7/17 23:53,,CLR:00,10,21,54,7,29.65,,744,1746
1/7/17 23:59,,,,,,,,,744,1746
1/8/17 0:53,,CLR:00,10,20,57,6,29.65,,744,1746
1/8/17 1:53,,CLR:00,10,19,59,6,29.66,,744,1746
1/8/17 2:53,,CLR:00,10,18,62,6,29.68,,744,1746
1/8/17 3:53,,CLR:00,10,18,62,7,29.69,,744,1746
1/8/17 4:53,,CLR:00,10,17,64,6,29.69,,744,1746
1/8/17 5:53,,CLR:00,10,16,67,8,29.71,,744,1746
1/8/17 6:53,,CLR:00,10,16,65,5,29.72,,744,1746
1/8/17 7:53,,CLR:00,10,15,67,6,29.76,,744,1746
1/8/17 8:53,,CLR:00,10,17,62,10,29.78,,744,1746
1/8/17 9:53,,CLR:00,10,19,59,7,29.81,,744,1746
1/8/17 10:53,,CLR:00,10,24,50,9,29.81,,744,1746
1/8/17 11:53,,CLR:00,10,28,39,11,29.78,,744,1746
1/8/17 12:53,,CLR:00,10,30,34,9,29.74,,744,1746
1/8/17 13:53,,CLR:00,10,33,32,7,29.73,,744,1746
1/8/17 14:53,,CLR:00,10,33,32,10,29.72,,744,1746
1/8/17 15:53,,CLR:00,10,33,32,9,29.72,,744,1746
1/8/17 16:53,,CLR:00,10,32,35,6,29.73,,744,1746
1/8/17 17:53,,CLR:00,10,29,38,7,29.73,,744,1746
1/8/17 18:53,,CLR:00,10,29,39,3,29.73,,744,1746
1/8/17 19:53,,CLR:00,10,28,47,0,29.73,,744,1747
1/8/17 20:53,,FEW:02 120,7,28,49,5,29.74,,744,1747
1/8/17 21:05,,FEW:02 3,2.5,28,49,3,29.75,,744,1747
1/8/17 21:13,,CLR:00,6,28,44,3,29.75,,744,1747
1/8/17 21:53,,CLR:00,10,27,53,0,29.74,,744,1747
1/8/17 22:53,,CLR:00,10,27,49,3,29.74,,744,1747
1/8/17 23:53,,CLR:00,10,27,49,3,29.74,,744,1747
1/8/17 23:59,,,,,,,,,744,1747
1/9/17 0:53,,CLR:00,10,26,53,0,29.74,,744,1747
1/9/17 1:53,,CLR:00,10,26,57,0,29.73,,744,1747
1/9/17 2:53,,SCT:04 120,10,26,63,0,29.72,,744,1747
1/9/17 3:53,,CLR:00,10,26,63,0,29.73,,744,1747
1/9/17 4:53,,SCT:04 120,10,26,71,0,29.75,,744,1747
1/9/17 5:53,,OVC:08 110,10,26,71,0,29.76,,744,1747
1/9/17 6:53,,SCT:04 110,10,29,47,3,29.77,,744,1747
1/9/17 7:53,,CLR:00,10,25,60,0,29.77,,744,1747
1/9/17 8:53,,CLR:00,10,29,49,6,29.78,,744,1747
1/9/17 9:53,,CLR:00,10,32,40,9,29.78,,744,1747
1/9/17 10:53,,CLR:00,10,35,34,7,29.77,,744,1747
1/9/17 11:53,,CLR:00,10,38,31,6,29.76,,744,1747
1/9/17 12:53,,CLR:00,10,40,27,7,29.72,,744,1747
1/9/17 13:53,,CLR:00,10,42,22,9,29.67,,744,1747
1/9/17 14:53,,CLR:00,10,44,21,6,29.65,,744,1747
1/9/17 15:53,,CLR:00,10,45,18,6,29.63,,744,1747
1/9/17 16:53,,CLR:00,10,45,18,8,29.63,,744,1747
1/9/17 17:53,,CLR:00,10,43,21,0,29.62,,744,1747
1/9/17 18:53,,CLR:00,10,39,29,0,29.63,,744,1747
1/9/17 19:53,,CLR:00,10,32,52,0,29.64,,744,1748
1/9/17 20:53,,CLR:00,10,31,54,0,29.63,,744,1748
1/9/17 21:53,,CLR:00,10,31,59,0,29.64,,744,1748
1/9/17 22:53,,CLR:00,10,36,31,3,29.63,,744,1748
1/9/17 23:53,,CLR:00,10,30,56,0,29.62,,744,1748
1/9/17 23:59,,,,,,,,,744,1748
1/10/17 0:53,,CLR:00,10,29,58,0,29.6,,744,1748
1/10/17 1:53,,BKN:07 50,10,32,45,3,29.57,,744,1748
1/10/17 2:53,,OVC:08 50,10,35,35,3,29.57,,744,1748
1/10/17 3:53,,OVC:08 50,10,35,35,6,29.56,,744,1748
1/10/17 4:53,,OVC:08 55,10,35,38,0,29.56,,744,1748
